sample_name,dataset,file,reference_genome
NA12815,1000G,,GRCh37
NA12827,1000G,,GRCh37
NA12828,1000G,,GRCh37
NA12829,1000G,,GRCh37
NA12830,1000G,,GRCh37
NA12842,1000G,,GRCh37
NA12843,1000G,,GRCh37
NA12872,1000G,,GRCh37
NA12873,1000G,,GRCh37
NA12874,1000G,,GRCh37
NA12878,1000G,,GRCh37
NA12889,1000G,,GRCh37
NA12890,1000G,,GRCh37
NA18486,1000G,,GRCh37
NA18488,1000G,,GRCh37
NA18489,1000G,,GRCh37
NA18498,1000G,,GRCh37
NA18499,1000G,,GRCh37
NA18501,1000G,,GRCh37
NA18502,1000G,,GRCh37
NA18504,1000G,,GRCh37
NA18505,1000G,,GRCh37
NA18507,1000G,,GRCh37
NA18508,1000G,,GRCh37
NA18510,1000G,,GRCh37
NA18511,1000G,,GRCh37
NA18516,1000G,,GRCh37
NA18517,1000G,,GRCh37
NA18519,1000G,,GRCh37
NA18520,1000G,,GRCh37
NA18522,1000G,,GRCh37
NA18523,1000G,,GRCh37
NA18525,1000G,,GRCh37
NA18526,1000G,,GRCh37
NA18528,1000G,,GRCh37
NA18530,1000G,,GRCh37
NA18531,1000G,,GRCh37
NA18532,1000G,,GRCh37
NA18533,1000G,,GRCh37
NA18534,1000G,,GRCh37
NA18535,1000G,,GRCh37
NA18536,1000G,,GRCh37
NA18537,1000G,,GRCh37
NA18538,1000G,,GRCh37
NA18539,1000G,,GRCh37
NA18541,1000G,,GRCh37
NA18542,1000G,,GRCh37
NA18543,1000G,,GRCh37
NA18544,1000G,,GRCh37
NA18545,1000G,,GRCh37
NA18546,1000G,,GRCh37
NA18547,1000G,,GRCh37
NA18548,1000G,,GRCh37
NA18549,1000G,,GRCh37
NA18550,1000G,,GRCh37
NA18552,1000G,,GRCh37
NA18553,1000G,,GRCh37
NA18555,1000G,,GRCh37
NA18557,1000G,,GRCh37
NA18558,1000G,,GRCh37
NA18559,1000G,,GRCh37
NA18560,1000G,,GRCh37
NA18561,1000G,,GRCh37
NA18562,1000G,,GRCh37
NA18563,1000G,,GRCh37
NA18564,1000G,,GRCh37
NA18565,1000G,,GRCh37
NA18566,1000G,,GRCh37
NA18567,1000G,,GRCh37
NA18570,1000G,,GRCh37
NA18571,1000G,,GRCh37
NA18572,1000G,,GRCh37
NA18573,1000G,,GRCh37
NA18574,1000G,,GRCh37
NA18577,1000G,,GRCh37
NA18579,1000G,,GRCh37
NA18582,1000G,,GRCh37
NA18591,1000G,,GRCh37
NA18592,1000G,,GRCh37
NA18593,1000G,,GRCh37
NA18595,1000G,,GRCh37
NA18596,1000G,,GRCh37
NA18597,1000G,,GRCh37
NA18599,1000G,,GRCh37
NA18602,1000G,,GRCh37
NA18603,1000G,,GRCh37
NA18605,1000G,,GRCh37
NA18606,1000G,,GRCh37
NA18608,1000G,,GRCh37
NA18609,1000G,,GRCh37
NA18610,1000G,,GRCh37
NA18611,1000G,,GRCh37
NA18612,1000G,,GRCh37
NA18613,1000G,,GRCh37
NA18614,1000G,,GRCh37
NA18615,1000G,,GRCh37
NA18616,1000G,,GRCh37
NA18617,1000G,,GRCh37
NA18618,1000G,,GRCh37
NA18619,1000G,,GRCh37
NA18620,1000G,,GRCh37
NA18621,1000G,,GRCh37
NA18622,1000G,,GRCh37
NA18623,1000G,,GRCh37
NA18624,1000G,,GRCh37
NA18625,1000G,,GRCh37
NA18626,1000G,,GRCh37
NA18627,1000G,,GRCh37
NA18628,1000G,,GRCh37
NA18629,1000G,,GRCh37
NA18630,1000G,,GRCh37
NA18631,1000G,,GRCh37
NA18632,1000G,,GRCh37
NA18633,1000G,,GRCh37
NA18634,1000G,,GRCh37
NA18635,1000G,,GRCh37
NA18636,1000G,,GRCh37
NA18637,1000G,,GRCh37
NA18638,1000G,,GRCh37
NA18639,1000G,,GRCh37
NA18640,1000G,,GRCh37
NA18641,1000G,,GRCh37
NA18642,1000G,,GRCh37
NA18643,1000G,,GRCh37
NA18644,1000G,,GRCh37
NA18645,1000G,,GRCh37
NA18646,1000G,,GRCh37
NA18647,1000G,,GRCh37
NA18648,1000G,,GRCh37
NA18740,1000G,,GRCh37
NA18745,1000G,,GRCh37
NA18747,1000G,,GRCh37
NA18748,1000G,,GRCh37
NA18749,1000G,,GRCh37
NA18757,1000G,,GRCh37
NA18853,1000G,,GRCh37
NA18856,1000G,,GRCh37
NA18858,1000G,,GRCh37
NA18861,1000G,,GRCh37
NA18864,1000G,,GRCh37
NA18865,1000G,,GRCh37
NA18867,1000G,,GRCh37
NA18868,1000G,,GRCh37
NA18870,1000G,,GRCh37
NA18871,1000G,,GRCh37
NA18873,1000G,,GRCh37
NA18874,1000G,,GRCh37
NA18876,1000G,,GRCh37
NA18877,1000G,,GRCh37
NA18878,1000G,,GRCh37
NA18879,1000G,,GRCh37
NA18881,1000G,,GRCh37
NA18907,1000G,,GRCh37
NA18908,1000G,,GRCh37
NA18909,1000G,,GRCh37
NA18910,1000G,,GRCh37
NA18912,1000G,,GRCh37
NA18915,1000G,,GRCh37
NA18916,1000G,,GRCh37
NA18917,1000G,,GRCh37
NA18923,1000G,,GRCh37
NA18924,1000G,,GRCh37
NA18933,1000G,,GRCh37
NA18934,1000G,,GRCh37
NA18939,1000G,,GRCh37
NA18940,1000G,,GRCh37
NA18941,1000G,,GRCh37
NA18942,1000G,,GRCh37
NA18943,1000G,,GRCh37
NA18944,1000G,,GRCh37
NA18945,1000G,,GRCh37
NA18946,1000G,,GRCh37
NA18947,1000G,,GRCh37
NA18948,1000G,,GRCh37
NA18949,1000G,,GRCh37
NA18950,1000G,,GRCh37
NA18951,1000G,,GRCh37
NA18952,1000G,,GRCh37
NA18953,1000G,,GRCh37
NA18954,1000G,,GRCh37
NA18956,1000G,,GRCh37
NA18957,1000G,,GRCh37
NA18959,1000G,,GRCh37
NA18960,1000G,,GRCh37
NA18961,1000G,,GRCh37
NA18962,1000G,,GRCh37
NA18963,1000G,,GRCh37
NA18964,1000G,,GRCh37
NA18965,1000G,,GRCh37
NA18966,1000G,,GRCh37
NA18967,1000G,,GRCh37
NA18968,1000G,,GRCh37
NA18969,1000G,,GRCh37
NA18970,1000G,,GRCh37
NA18971,1000G,,GRCh37
NA18972,1000G,,GRCh37
NA18973,1000G,,GRCh37
NA18974,1000G,,GRCh37
NA18975,1000G,,GRCh37
NA18976,1000G,,GRCh37
NA18977,1000G,,GRCh37
NA18978,1000G,,GRCh37
NA18979,1000G,,GRCh37
NA18980,1000G,,GRCh37
NA18981,1000G,,GRCh37
NA18982,1000G,,GRCh37
NA18983,1000G,,GRCh37
NA18984,1000G,,GRCh37
NA18985,1000G,,GRCh37
NA18986,1000G,,GRCh37
NA18987,1000G,,GRCh37
NA18988,1000G,,GRCh37
NA18989,1000G,,GRCh37
NA18990,1000G,,GRCh37
NA18991,1000G,,GRCh37
NA18992,1000G,,GRCh37
NA18993,1000G,,GRCh37
NA18994,1000G,,GRCh37
NA18995,1000G,,GRCh37
NA18997,1000G,,GRCh37
NA18998,1000G,,GRCh37
NA18999,1000G,,GRCh37
NA19000,1000G,,GRCh37
NA19001,1000G,,GRCh37
NA19002,1000G,,GRCh37
NA19003,1000G,,GRCh37
NA19004,1000G,,GRCh37
NA19005,1000G,,GRCh37
NA19006,1000G,,GRCh37
NA19007,1000G,,GRCh37
NA19009,1000G,,GRCh37
NA19010,1000G,,GRCh37
NA19011,1000G,,GRCh37
NA19012,1000G,,GRCh37
NA19017,1000G,,GRCh37
NA19019,1000G,,GRCh37
NA19020,1000G,,GRCh37
NA19023,1000G,,GRCh37
NA19024,1000G,,GRCh37
NA19025,1000G,,GRCh37
NA19026,1000G,,GRCh37
NA19027,1000G,,GRCh37
NA19028,1000G,,GRCh37
NA19030,1000G,,GRCh37
NA19031,1000G,,GRCh37
NA19035,1000G,,GRCh37
NA19036,1000G,,GRCh37
NA19037,1000G,,GRCh37
NA19038,1000G,,GRCh37
NA19041,1000G,,GRCh37
NA19042,1000G,,GRCh37
NA19043,1000G,,GRCh37
NA19054,1000G,,GRCh37
NA19055,1000G,,GRCh37
NA19056,1000G,,GRCh37
NA19057,1000G,,GRCh37
NA19058,1000G,,GRCh37
NA19059,1000G,,GRCh37
NA19060,1000G,,GRCh37
NA19062,1000G,,GRCh37
NA19063,1000G,,GRCh37
NA19064,1000G,,GRCh37
NA19065,1000G,,GRCh37
NA19066,1000G,,GRCh37
NA19067,1000G,,GRCh37
NA19068,1000G,,GRCh37
NA19070,1000G,,GRCh37
NA19072,1000G,,GRCh37
NA19074,1000G,,GRCh37
NA19075,1000G,,GRCh37
NA19076,1000G,,GRCh37
NA19077,1000G,,GRCh37
NA19078,1000G,,GRCh37
NA19079,1000G,,GRCh37
NA19080,1000G,,GRCh37
NA19081,1000G,,GRCh37
NA19082,1000G,,GRCh37
NA19083,1000G,,GRCh37
NA19084,1000G,,GRCh37
NA19085,1000G,,GRCh37
NA19086,1000G,,GRCh37
NA19087,1000G,,GRCh37
NA19088,1000G,,GRCh37
NA19089,1000G,,GRCh37
NA19090,1000G,,GRCh37
NA19091,1000G,,GRCh37
NA19092,1000G,,GRCh37
NA19093,1000G,,GRCh37
NA19095,1000G,,GRCh37
NA19096,1000G,,GRCh37
NA19098,1000G,,GRCh37
NA19099,1000G,,GRCh37
NA19102,1000G,,GRCh37
NA19107,1000G,,GRCh37
NA19108,1000G,,GRCh37
NA19113,1000G,,GRCh37
NA19114,1000G,,GRCh37
NA19116,1000G,,GRCh37
NA19117,1000G,,GRCh37
NA19118,1000G,,GRCh37
NA19119,1000G,,GRCh37
NA19121,1000G,,GRCh37
NA19129,1000G,,GRCh37
NA19130,1000G,,GRCh37
NA19131,1000G,,GRCh37
NA19137,1000G,,GRCh37
NA19138,1000G,,GRCh37
NA19141,1000G,,GRCh37
NA19143,1000G,,GRCh37
NA19144,1000G,,GRCh37
NA19146,1000G,,GRCh37
NA19147,1000G,,GRCh37
NA19149,1000G,,GRCh37
NA19152,1000G,,GRCh37
NA19153,1000G,,GRCh37
NA19159,1000G,,GRCh37
NA19160,1000G,,GRCh37
NA19171,1000G,,GRCh37
NA19172,1000G,,GRCh37
NA19175,1000G,,GRCh37
NA19184,1000G,,GRCh37
NA19185,1000G,,GRCh37
NA19189,1000G,,GRCh37
NA19190,1000G,,GRCh37
NA19197,1000G,,GRCh37
NA19198,1000G,,GRCh37
NA19200,1000G,,GRCh37
NA19201,1000G,,GRCh37
NA19204,1000G,,GRCh37
NA19206,1000G,,GRCh37
NA19207,1000G,,GRCh37
NA19209,1000G,,GRCh37
NA19210,1000G,,GRCh37
NA19213,1000G,,GRCh37
NA19214,1000G,,GRCh37
NA19222,1000G,,GRCh37
NA19223,1000G,,GRCh37
NA19225,1000G,,GRCh37
NA19235,1000G,,GRCh37
NA19236,1000G,,GRCh37
NA19238,1000G,,GRCh37
NA19239,1000G,,GRCh37
NA19247,1000G,,GRCh37
NA19248,1000G,,GRCh37
NA19256,1000G,,GRCh37
NA19257,1000G,,GRCh37
NA19307,1000G,,GRCh37
NA19308,1000G,,GRCh37
NA19309,1000G,,GRCh37
NA19310,1000G,,GRCh37
NA19312,1000G,,GRCh37
NA19314,1000G,,GRCh37
NA19315,1000G,,GRCh37
NA19316,1000G,,GRCh37
NA19317,1000G,,GRCh37
NA19318,1000G,,GRCh37
NA19319,1000G,,GRCh37
NA19320,1000G,,GRCh37
NA19321,1000G,,GRCh37
NA19323,1000G,,GRCh37
NA19324,1000G,,GRCh37
NA19327,1000G,,GRCh37
NA19328,1000G,,GRCh37
NA19331,1000G,,GRCh37
NA19332,1000G,,GRCh37
NA19334,1000G,,GRCh37
NA19338,1000G,,GRCh37
NA19346,1000G,,GRCh37
NA19347,1000G,,GRCh37
NA19350,1000G,,GRCh37
NA19351,1000G,,GRCh37
NA19355,1000G,,GRCh37
NA19360,1000G,,GRCh37
NA19372,1000G,,GRCh37
NA19374,1000G,,GRCh37
NA19375,1000G,,GRCh37
NA19376,1000G,,GRCh37
NA19377,1000G,,GRCh37
NA19378,1000G,,GRCh37
NA19379,1000G,,GRCh37
NA19380,1000G,,GRCh37
NA19383,1000G,,GRCh37
NA19384,1000G,,GRCh37
NA19385,1000G,,GRCh37
NA19390,1000G,,GRCh37
NA19391,1000G,,GRCh37
NA19393,1000G,,GRCh37
NA19394,1000G,,GRCh37
NA19395,1000G,,GRCh37
NA19397,1000G,,GRCh37
NA19399,1000G,,GRCh37
NA19401,1000G,,GRCh37
NA19403,1000G,,GRCh37
NA19404,1000G,,GRCh37
NA19428,1000G,,GRCh37
NA19429,1000G,,GRCh37
NA19430,1000G,,GRCh37
NA19431,1000G,,GRCh37
NA19434,1000G,,GRCh37
NA19435,1000G,,GRCh37
NA19436,1000G,,GRCh37
NA19437,1000G,,GRCh37
NA19438,1000G,,GRCh37
NA19439,1000G,,GRCh37
NA19440,1000G,,GRCh37
NA19443,1000G,,GRCh37
NA19445,1000G,,GRCh37
NA19446,1000G,,GRCh37
NA19448,1000G,,GRCh37
NA19449,1000G,,GRCh37
NA19451,1000G,,GRCh37
NA19452,1000G,,GRCh37
NA19454,1000G,,GRCh37
NA19455,1000G,,GRCh37
NA19456,1000G,,GRCh37
NA19457,1000G,,GRCh37
NA19461,1000G,,GRCh37
NA19462,1000G,,GRCh37
NA19463,1000G,,GRCh37
NA19466,1000G,,GRCh37
NA19467,1000G,,GRCh37
NA19468,1000G,,GRCh37
NA19471,1000G,,GRCh37
NA19472,1000G,,GRCh37
NA19473,1000G,,GRCh37
NA19474,1000G,,GRCh37
NA19475,1000G,,GRCh37
NA19625,1000G,,GRCh37
NA19648,1000G,,GRCh37
NA19649,1000G,,GRCh37
NA19651,1000G,,GRCh37
NA19652,1000G,,GRCh37
NA19654,1000G,,GRCh37
NA19655,1000G,,GRCh37
NA19657,1000G,,GRCh37
NA19658,1000G,,GRCh37
NA19661,1000G,,GRCh37
NA19663,1000G,,GRCh37
NA19664,1000G,,GRCh37
NA19669,1000G,,GRCh37
NA19670,1000G,,GRCh37
NA19676,1000G,,GRCh37
NA19678,1000G,,GRCh37
NA19679,1000G,,GRCh37
NA19681,1000G,,GRCh37
NA19682,1000G,,GRCh37
NA19684,1000G,,GRCh37
NA19700,1000G,,GRCh37
NA19701,1000G,,GRCh37
NA19703,1000G,,GRCh37
NA19704,1000G,,GRCh37
NA19707,1000G,,GRCh37
NA19711,1000G,,GRCh37
NA19712,1000G,,GRCh37
NA19713,1000G,,GRCh37
NA19716,1000G,,GRCh37
NA19717,1000G,,GRCh37
NA19719,1000G,,GRCh37
NA19720,1000G,,GRCh37
NA19722,1000G,,GRCh37
NA19723,1000G,,GRCh37
NA19725,1000G,,GRCh37
NA19726,1000G,,GRCh37
NA19728,1000G,,GRCh37
NA19729,1000G,,GRCh37
NA19731,1000G,,GRCh37
NA19732,1000G,,GRCh37
NA19734,1000G,,GRCh37
NA19735,1000G,,GRCh37
NA19740,1000G,,GRCh37
NA19741,1000G,,GRCh37
NA19746,1000G,,GRCh37
NA19747,1000G,,GRCh37
NA19749,1000G,,GRCh37
NA19750,1000G,,GRCh37
NA19752,1000G,,GRCh37
NA19755,1000G,,GRCh37
NA19756,1000G,,GRCh37
NA19758,1000G,,GRCh37
NA19759,1000G,,GRCh37
NA19761,1000G,,GRCh37
NA19762,1000G,,GRCh37
NA19764,1000G,,GRCh37
NA19770,1000G,,GRCh37
NA19771,1000G,,GRCh37
NA19773,1000G,,GRCh37
NA19774,1000G,,GRCh37
NA19776,1000G,,GRCh37
NA19777,1000G,,GRCh37
NA19779,1000G,,GRCh37
NA19780,1000G,,GRCh37
NA19782,1000G,,GRCh37
NA19783,1000G,,GRCh37
NA19785,1000G,,GRCh37
NA19786,1000G,,GRCh37
NA19788,1000G,,GRCh37
NA19789,1000G,,GRCh37
NA19792,1000G,,GRCh37
NA19794,1000G,,GRCh37
NA19795,1000G,,GRCh37
NA19818,1000G,,GRCh37
NA19819,1000G,,GRCh37
NA19834,1000G,,GRCh37
NA19835,1000G,,GRCh37
NA19900,1000G,,GRCh37
NA19901,1000G,,GRCh37
NA19904,1000G,,GRCh37
NA19908,1000G,,GRCh37
NA19909,1000G,,GRCh37
NA19913,1000G,,GRCh37
NA19914,1000G,,GRCh37
NA19916,1000G,,GRCh37
NA19917,1000G,,GRCh37
NA19920,1000G,,GRCh37
NA19921,1000G,,GRCh37
NA19922,1000G,,GRCh37
NA19923,1000G,,GRCh37
NA19982,1000G,,GRCh37
NA19984,1000G,,GRCh37
NA20126,1000G,,GRCh37
NA20127,1000G,,GRCh37
NA20274,1000G,,GRCh37
NA20276,1000G,,GRCh37
NA20278,1000G,,GRCh37
NA20281,1000G,,GRCh37
NA20282,1000G,,GRCh37
NA20287,1000G,,GRCh37
NA20289,1000G,,GRCh37
NA20291,1000G,,GRCh37
NA20294,1000G,,GRCh37
NA20296,1000G,,GRCh37
NA20298,1000G,,GRCh37
NA20299,1000G,,GRCh37
NA20314,1000G,,GRCh37
NA20317,1000G,,GRCh37
NA20318,1000G,,GRCh37
NA20320,1000G,,GRCh37
NA20321,1000G,,GRCh37
NA20332,1000G,,GRCh37
NA20334,1000G,,GRCh37
NA20339,1000G,,GRCh37
NA20340,1000G,,GRCh37
NA20342,1000G,,GRCh37
NA20346,1000G,,GRCh37
NA20348,1000G,,GRCh37
NA20351,1000G,,GRCh37
NA20355,1000G,,GRCh37
NA20356,1000G,,GRCh37
NA20357,1000G,,GRCh37
NA20359,1000G,,GRCh37
NA20362,1000G,,GRCh37
NA20412,1000G,,GRCh37
NA20502,1000G,,GRCh37
NA20503,1000G,,GRCh37
NA20504,1000G,,GRCh37
NA20505,1000G,,GRCh37
NA20506,1000G,,GRCh37
NA20507,1000G,,GRCh37
NA20508,1000G,,GRCh37
NA20509,1000G,,GRCh37
NA20510,1000G,,GRCh37
NA20511,1000G,,GRCh37
NA20512,1000G,,GRCh37
NA20513,1000G,,GRCh37
NA20514,1000G,,GRCh37
NA20515,1000G,,GRCh37
NA20516,1000G,,GRCh37
NA20517,1000G,,GRCh37
NA20518,1000G,,GRCh37
NA20519,1000G,,GRCh37
NA20520,1000G,,GRCh37
NA20521,1000G,,GRCh37
NA20522,1000G,,GRCh37
NA20524,1000G,,GRCh37
NA20525,1000G,,GRCh37
NA20527,1000G,,GRCh37
NA20528,1000G,,GRCh37
NA20529,1000G,,GRCh37
NA20530,1000G,,GRCh37
NA20531,1000G,,GRCh37
NA20532,1000G,,GRCh37
NA20533,1000G,,GRCh37
NA20534,1000G,,GRCh37
NA20535,1000G,,GRCh37
NA20536,1000G,,GRCh37
NA20538,1000G,,GRCh37
NA20539,1000G,,GRCh37
NA20540,1000G,,GRCh37
NA20541,1000G,,GRCh37
NA20542,1000G,,GRCh37
NA20543,1000G,,GRCh37
NA20544,1000G,,GRCh37
NA20581,1000G,,GRCh37
NA20582,1000G,,GRCh37
NA20585,1000G,,GRCh37
NA20586,1000G,,GRCh37
NA20587,1000G,,GRCh37
NA20588,1000G,,GRCh37
NA20589,1000G,,GRCh37
NA20752,1000G,,GRCh37
NA20753,1000G,,GRCh37
NA20754,1000G,,GRCh37
NA20755,1000G,,GRCh37
NA20756,1000G,,GRCh37
NA20757,1000G,,GRCh37
NA20758,1000G,,GRCh37
NA20759,1000G,,GRCh37
NA20760,1000G,,GRCh37
NA20761,1000G,,GRCh37
NA20762,1000G,,GRCh37
NA20763,1000G,,GRCh37
NA20764,1000G,,GRCh37
NA20765,1000G,,GRCh37
NA20766,1000G,,GRCh37
NA20767,1000G,,GRCh37
NA20768,1000G,,GRCh37
NA20769,1000G,,GRCh37
NA20770,1000G,,GRCh37
NA20771,1000G,,GRCh37
NA20772,1000G,,GRCh37
NA20773,1000G,,GRCh37
NA20774,1000G,,GRCh37
NA20775,1000G,,GRCh37
NA20778,1000G,,GRCh37
NA20783,1000G,,GRCh37
NA20785,1000G,,GRCh37
NA20786,1000G,,GRCh37
NA20787,1000G,,GRCh37
NA20790,1000G,,GRCh37
NA20792,1000G,,GRCh37
NA20795,1000G,,GRCh37
NA20796,1000G,,GRCh37
NA20797,1000G,,GRCh37
NA20798,1000G,,GRCh37
NA20799,1000G,,GRCh37
NA20800,1000G,,GRCh37
NA20801,1000G,,GRCh37
NA20802,1000G,,GRCh37
NA20803,1000G,,GRCh37
NA20804,1000G,,GRCh37
NA20805,1000G,,GRCh37
NA20806,1000G,,GRCh37
NA20807,1000G,,GRCh37
NA20808,1000G,,GRCh37
NA20809,1000G,,GRCh37
NA20810,1000G,,GRCh37
NA20811,1000G,,GRCh37
NA20812,1000G,,GRCh37
NA20813,1000G,,GRCh37
NA20814,1000G,,GRCh37
NA20815,1000G,,GRCh37
NA20818,1000G,,GRCh37
NA20819,1000G,,GRCh37
NA20821,1000G,,GRCh37
NA20822,1000G,,GRCh37
NA20826,1000G,,GRCh37
NA20827,1000G,,GRCh37
NA20828,1000G,,GRCh37
NA20832,1000G,,GRCh37
NA20845,1000G,,GRCh37
NA20846,1000G,,GRCh37
NA20847,1000G,,GRCh37
NA20849,1000G,,GRCh37
NA20850,1000G,,GRCh37
NA20851,1000G,,GRCh37
NA20852,1000G,,GRCh37
NA20853,1000G,,GRCh37
NA20854,1000G,,GRCh37
NA20856,1000G,,GRCh37
NA20858,1000G,,GRCh37
NA20859,1000G,,GRCh37
NA20861,1000G,,GRCh37
NA20862,1000G,,GRCh37
NA20863,1000G,,GRCh37
NA20864,1000G,,GRCh37
NA20866,1000G,,GRCh37
NA20867,1000G,,GRCh37
NA20868,1000G,,GRCh37
NA20869,1000G,,GRCh37
NA20870,1000G,,GRCh37
NA20872,1000G,,GRCh37
NA20874,1000G,,GRCh37
NA20875,1000G,,GRCh37
NA20876,1000G,,GRCh37
NA20877,1000G,,GRCh37
NA20878,1000G,,GRCh37
NA20881,1000G,,GRCh37
NA20882,1000G,,GRCh37
NA20884,1000G,,GRCh37
NA20885,1000G,,GRCh37
NA20886,1000G,,GRCh37
NA20887,1000G,,GRCh37
NA20888,1000G,,GRCh37
NA20889,1000G,,GRCh37
NA20890,1000G,,GRCh37
NA20891,1000G,,GRCh37
NA20892,1000G,,GRCh37
NA20894,1000G,,GRCh37
NA20895,1000G,,GRCh37
NA20896,1000G,,GRCh37
NA20897,1000G,,GRCh37
NA20899,1000G,,GRCh37
NA20900,1000G,,GRCh37
NA20901,1000G,,GRCh37
NA20902,1000G,,GRCh37
NA20903,1000G,,GRCh37
NA20904,1000G,,GRCh37
NA20905,1000G,,GRCh37
NA20906,1000G,,GRCh37
NA20908,1000G,,GRCh37
NA20910,1000G,,GRCh37
NA20911,1000G,,GRCh37
NA21086,1000G,,GRCh37
NA21087,1000G,,GRCh37
NA21088,1000G,,GRCh37
NA21089,1000G,,GRCh37
NA21090,1000G,,GRCh37
NA21091,1000G,,GRCh37
NA21092,1000G,,GRCh37
NA21093,1000G,,GRCh37
NA21094,1000G,,GRCh37
NA21095,1000G,,GRCh37
NA21097,1000G,,GRCh37
NA21098,1000G,,GRCh37
NA21099,1000G,,GRCh37
NA21100,1000G,,GRCh37
NA21101,1000G,,GRCh37
NA21102,1000G,,GRCh37
NA21103,1000G,,GRCh37
NA21104,1000G,,GRCh37
NA21105,1000G,,GRCh37
NA21106,1000G,,GRCh37
NA21107,1000G,,GRCh37
NA21108,1000G,,GRCh37
NA21109,1000G,,GRCh37
NA21110,1000G,,GRCh37
NA21111,1000G,,GRCh37
NA21112,1000G,,GRCh37
NA21113,1000G,,GRCh37
NA21114,1000G,,GRCh37
NA21115,1000G,,GRCh37
NA21116,1000G,,GRCh37
NA21117,1000G,,GRCh37
NA21118,1000G,,GRCh37
NA21119,1000G,,GRCh37
NA21120,1000G,,GRCh37
NA21122,1000G,,GRCh37
NA21123,1000G,,GRCh37
NA21124,1000G,,GRCh37
NA21125,1000G,,GRCh37
NA21126,1000G,,GRCh37
NA21127,1000G,,GRCh37
NA21128,1000G,,GRCh37
NA21129,1000G,,GRCh37
NA21130,1000G,,GRCh37
NA21133,1000G,,GRCh37
NA21135,1000G,,GRCh37
NA21137,1000G,,GRCh37
NA21141,1000G,,GRCh37
NA21142,1000G,,GRCh37
NA21143,1000G,,GRCh37
NA21144,1000G,,GRCh37
