sample_name,dataset,file,reference_genome
HG01384,1000G,,GRCh37
HG01389,1000G,,GRCh37
HG01390,1000G,,GRCh37
HG01392,1000G,,GRCh37
HG01393,1000G,,GRCh37
HG01395,1000G,,GRCh37
HG01396,1000G,,GRCh37
HG01398,1000G,,GRCh37
HG01402,1000G,,GRCh37
HG01403,1000G,,GRCh37
HG01405,1000G,,GRCh37
HG01412,1000G,,GRCh37
HG01413,1000G,,GRCh37
HG01414,1000G,,GRCh37
HG01431,1000G,,GRCh37
HG01432,1000G,,GRCh37
HG01435,1000G,,GRCh37
HG01437,1000G,,GRCh37
HG01438,1000G,,GRCh37
HG01440,1000G,,GRCh37
HG01441,1000G,,GRCh37
HG01443,1000G,,GRCh37
HG01444,1000G,,GRCh37
HG01447,1000G,,GRCh37
HG01455,1000G,,GRCh37
HG01456,1000G,,GRCh37
HG01459,1000G,,GRCh37
HG01461,1000G,,GRCh37
HG01462,1000G,,GRCh37
HG01464,1000G,,GRCh37
HG01465,1000G,,GRCh37
HG01468,1000G,,GRCh37
HG01474,1000G,,GRCh37
HG01479,1000G,,GRCh37
HG01485,1000G,,GRCh37
HG01486,1000G,,GRCh37
HG01488,1000G,,GRCh37
HG01489,1000G,,GRCh37
HG01491,1000G,,GRCh37
HG01492,1000G,,GRCh37
HG01494,1000G,,GRCh37
HG01495,1000G,,GRCh37
HG01497,1000G,,GRCh37
HG01498,1000G,,GRCh37
HG01500,1000G,,GRCh37
HG01501,1000G,,GRCh37
HG01503,1000G,,GRCh37
HG01504,1000G,,GRCh37
HG01506,1000G,,GRCh37
HG01507,1000G,,GRCh37
HG01509,1000G,,GRCh37
HG01510,1000G,,GRCh37
HG01512,1000G,,GRCh37
HG01513,1000G,,GRCh37
HG01515,1000G,,GRCh37
HG01516,1000G,,GRCh37
HG01518,1000G,,GRCh37
HG01519,1000G,,GRCh37
HG01521,1000G,,GRCh37
HG01522,1000G,,GRCh37
HG01524,1000G,,GRCh37
HG01525,1000G,,GRCh37
HG01527,1000G,,GRCh37
HG01528,1000G,,GRCh37
HG01530,1000G,,GRCh37
HG01531,1000G,,GRCh37
HG01536,1000G,,GRCh37
HG01537,1000G,,GRCh37
HG01550,1000G,,GRCh37
HG01551,1000G,,GRCh37
HG01556,1000G,,GRCh37
HG01565,1000G,,GRCh37
HG01566,1000G,,GRCh37
HG01571,1000G,,GRCh37
HG01572,1000G,,GRCh37
HG01577,1000G,,GRCh37
HG01578,1000G,,GRCh37
HG01583,1000G,,GRCh37
HG01586,1000G,,GRCh37
HG01589,1000G,,GRCh37
HG01593,1000G,,GRCh37
HG01595,1000G,,GRCh37
HG01596,1000G,,GRCh37
HG01597,1000G,,GRCh37
HG01598,1000G,,GRCh37
HG01599,1000G,,GRCh37
HG01600,1000G,,GRCh37
HG01602,1000G,,GRCh37
HG01603,1000G,,GRCh37
HG01605,1000G,,GRCh37
HG01606,1000G,,GRCh37
HG01607,1000G,,GRCh37
HG01608,1000G,,GRCh37
HG01610,1000G,,GRCh37
HG01612,1000G,,GRCh37
HG01613,1000G,,GRCh37
HG01615,1000G,,GRCh37
HG01617,1000G,,GRCh37
HG01618,1000G,,GRCh37
HG01619,1000G,,GRCh37
HG01620,1000G,,GRCh37
HG01623,1000G,,GRCh37
HG01624,1000G,,GRCh37
HG01625,1000G,,GRCh37
HG01626,1000G,,GRCh37
HG01628,1000G,,GRCh37
HG01630,1000G,,GRCh37
HG01631,1000G,,GRCh37
HG01632,1000G,,GRCh37
HG01668,1000G,,GRCh37
HG01669,1000G,,GRCh37
HG01670,1000G,,GRCh37
HG01672,1000G,,GRCh37
HG01673,1000G,,GRCh37
HG01675,1000G,,GRCh37
HG01676,1000G,,GRCh37
HG01678,1000G,,GRCh37
HG01679,1000G,,GRCh37
HG01680,1000G,,GRCh37
HG01682,1000G,,GRCh37
HG01684,1000G,,GRCh37
HG01685,1000G,,GRCh37
HG01686,1000G,,GRCh37
HG01694,1000G,,GRCh37
HG01695,1000G,,GRCh37
HG01697,1000G,,GRCh37
HG01699,1000G,,GRCh37
HG01700,1000G,,GRCh37
HG01702,1000G,,GRCh37
HG01704,1000G,,GRCh37
HG01705,1000G,,GRCh37
HG01707,1000G,,GRCh37
HG01708,1000G,,GRCh37
HG01709,1000G,,GRCh37
HG01710,1000G,,GRCh37
HG01746,1000G,,GRCh37
HG01747,1000G,,GRCh37
HG01756,1000G,,GRCh37
HG01757,1000G,,GRCh37
HG01761,1000G,,GRCh37
HG01762,1000G,,GRCh37
HG01765,1000G,,GRCh37
HG01766,1000G,,GRCh37
HG01767,1000G,,GRCh37
HG01768,1000G,,GRCh37
HG01770,1000G,,GRCh37
HG01771,1000G,,GRCh37
HG01773,1000G,,GRCh37
HG01775,1000G,,GRCh37
HG01776,1000G,,GRCh37
HG01777,1000G,,GRCh37
HG01779,1000G,,GRCh37
HG01781,1000G,,GRCh37
HG01783,1000G,,GRCh37
HG01784,1000G,,GRCh37
HG01785,1000G,,GRCh37
HG01786,1000G,,GRCh37
HG01789,1000G,,GRCh37
HG01790,1000G,,GRCh37
HG01791,1000G,,GRCh37
HG01794,1000G,,GRCh37
HG01795,1000G,,GRCh37
HG01796,1000G,,GRCh37
HG01797,1000G,,GRCh37
HG01798,1000G,,GRCh37
HG01799,1000G,,GRCh37
HG01800,1000G,,GRCh37
HG01801,1000G,,GRCh37
HG01802,1000G,,GRCh37
HG01804,1000G,,GRCh37
HG01805,1000G,,GRCh37
HG01806,1000G,,GRCh37
HG01807,1000G,,GRCh37
HG01808,1000G,,GRCh37
HG01809,1000G,,GRCh37
HG01810,1000G,,GRCh37
HG01811,1000G,,GRCh37
HG01812,1000G,,GRCh37
HG01813,1000G,,GRCh37
HG01815,1000G,,GRCh37
HG01816,1000G,,GRCh37
HG01817,1000G,,GRCh37
HG01840,1000G,,GRCh37
HG01841,1000G,,GRCh37
HG01842,1000G,,GRCh37
HG01843,1000G,,GRCh37
HG01844,1000G,,GRCh37
HG01845,1000G,,GRCh37
HG01846,1000G,,GRCh37
HG01847,1000G,,GRCh37
HG01848,1000G,,GRCh37
HG01849,1000G,,GRCh37
HG01850,1000G,,GRCh37
HG01851,1000G,,GRCh37
HG01852,1000G,,GRCh37
HG01853,1000G,,GRCh37
HG01855,1000G,,GRCh37
HG01857,1000G,,GRCh37
HG01858,1000G,,GRCh37
HG01859,1000G,,GRCh37
HG01860,1000G,,GRCh37
HG01861,1000G,,GRCh37
HG01862,1000G,,GRCh37
HG01863,1000G,,GRCh37
HG01864,1000G,,GRCh37
HG01865,1000G,,GRCh37
HG01866,1000G,,GRCh37
HG01867,1000G,,GRCh37
HG01868,1000G,,GRCh37
HG01869,1000G,,GRCh37
HG01870,1000G,,GRCh37
HG01871,1000G,,GRCh37
HG01872,1000G,,GRCh37
HG01873,1000G,,GRCh37
HG01874,1000G,,GRCh37
HG01878,1000G,,GRCh37
HG01879,1000G,,GRCh37
HG01880,1000G,,GRCh37
HG01882,1000G,,GRCh37
HG01883,1000G,,GRCh37
HG01885,1000G,,GRCh37
HG01886,1000G,,GRCh37
