sample_name,sex,dataset,super-population,sub-population
HG03401,Female,ThousandGenomes,AFR,MSL
HG03410,Female,ThousandGenomes,AFR,MSL
HG03419,Female,ThousandGenomes,AFR,MSL
HG03428,Female,ThousandGenomes,AFR,MSL
HG03432,Male,ThousandGenomes,AFR,MSL
HG03433,Male,ThousandGenomes,AFR,MSL
HG03436,Male,ThousandGenomes,AFR,MSL
HG03437,Female,ThousandGenomes,AFR,MSL
HG03438,Female,ThousandGenomes,AFR,MSL
HG03439,Male,ThousandGenomes,AFR,MSL
HG03442,Male,ThousandGenomes,AFR,MSL
HG03445,Male,ThousandGenomes,AFR,MSL
HG03446,Female,ThousandGenomes,AFR,MSL
HG03449,Female,ThousandGenomes,AFR,MSL
HG03451,Male,ThousandGenomes,AFR,MSL
HG03452,Female,ThousandGenomes,AFR,MSL
HG03453,Female,ThousandGenomes,AFR,MSL
HG03454,Male,ThousandGenomes,AFR,MSL
HG03455,Female,ThousandGenomes,AFR,MSL
HG03456,Unknown,ThousandGenomes,AFR,MSL
HG03457,Male,ThousandGenomes,AFR,MSL
HG03458,Female,ThousandGenomes,AFR,MSL
HG03460,Male,ThousandGenomes,AFR,MSL
HG03461,Female,ThousandGenomes,AFR,MSL
HG03464,Female,ThousandGenomes,AFR,MSL
HG03469,Male,ThousandGenomes,AFR,MSL
HG03470,Female,ThousandGenomes,AFR,MSL
HG03472,Male,ThousandGenomes,AFR,MSL
HG03473,Female,ThousandGenomes,AFR,MSL
HG03476,Female,ThousandGenomes,AFR,MSL
HG03478,Male,ThousandGenomes,AFR,MSL
HG03479,Female,ThousandGenomes,AFR,MSL
HG03480,Female,ThousandGenomes,AFR,MSL
HG03484,Male,ThousandGenomes,AFR,MSL
HG03485,Female,ThousandGenomes,AFR,MSL
HG03486,Female,ThousandGenomes,AFR,MSL
HG03487,Male,ThousandGenomes,SAS,PJL
HG03488,Female,ThousandGenomes,SAS,PJL
HG03489,Male,ThousandGenomes,SAS,PJL
HG03490,Male,ThousandGenomes,SAS,PJL
HG03491,Female,ThousandGenomes,SAS,PJL
HG03492,Male,ThousandGenomes,SAS,PJL
HG03499,Female,ThousandGenomes,AFR,ESN
HG03511,Unknown,ThousandGenomes,AFR,ESN
HG03514,Female,ThousandGenomes,AFR,ESN
HG03515,Male,ThousandGenomes,AFR,ESN
HG03516,Female,ThousandGenomes,AFR,ESN
HG03517,Female,ThousandGenomes,AFR,ESN
HG03518,Male,ThousandGenomes,AFR,ESN
HG03519,Male,ThousandGenomes,AFR,ESN
HG03520,Female,ThousandGenomes,AFR,ESN
HG03521,Male,ThousandGenomes,AFR,ESN
HG03522,Female,ThousandGenomes,AFR,ESN
HG03538,Male,ThousandGenomes,AFR,GWD
HG03539,Female,ThousandGenomes,AFR,GWD
HG03540,Female,ThousandGenomes,AFR,GWD
HG03547,Male,ThousandGenomes,AFR,MSL
HG03548,Female,ThousandGenomes,AFR,MSL
HG03556,Male,ThousandGenomes,AFR,MSL
HG03557,Female,ThousandGenomes,AFR,MSL
HG03558,Female,ThousandGenomes,AFR,MSL
HG03559,Male,ThousandGenomes,AFR,MSL
HG03563,Female,ThousandGenomes,AFR,MSL
HG03565,Male,ThousandGenomes,AFR,MSL
HG03567,Female,ThousandGenomes,AFR,MSL
HG03571,Male,ThousandGenomes,AFR,MSL
HG03572,Female,ThousandGenomes,AFR,MSL
HG03574,Male,ThousandGenomes,AFR,MSL
HG03575,Female,ThousandGenomes,AFR,MSL
HG03576,Female,ThousandGenomes,AFR,MSL
HG03577,Male,ThousandGenomes,AFR,MSL
HG03578,Female,ThousandGenomes,AFR,MSL
HG03579,Male,ThousandGenomes,AFR,MSL
HG03582,Male,ThousandGenomes,AFR,MSL
HG03583,Female,ThousandGenomes,AFR,MSL
HG03584,Female,ThousandGenomes,AFR,MSL
HG03585,Male,ThousandGenomes,SAS,BEB
HG03589,Female,ThousandGenomes,SAS,BEB
HG03593,Male,ThousandGenomes,SAS,BEB
HG03594,Male,ThousandGenomes,SAS,BEB
HG03595,Female,ThousandGenomes,SAS,BEB
HG03596,Male,ThousandGenomes,SAS,BEB
HG03598,Female,ThousandGenomes,SAS,BEB
HG03600,Male,ThousandGenomes,SAS,BEB
HG03603,Male,ThousandGenomes,SAS,BEB
HG03604,Female,ThousandGenomes,SAS,BEB
HG03605,Female,ThousandGenomes,SAS,BEB
HG03606,Male,ThousandGenomes,SAS,BEB
HG03607,Female,ThousandGenomes,SAS,BEB
HG03611,Female,ThousandGenomes,SAS,BEB
HG03615,Male,ThousandGenomes,SAS,BEB
HG03616,Female,ThousandGenomes,SAS,BEB
HG03617,Female,ThousandGenomes,SAS,BEB
HG03618,Male,ThousandGenomes,SAS,PJL
HG03619,Female,ThousandGenomes,SAS,PJL
HG03620,Female,ThousandGenomes,SAS,PJL
HG03624,Male,ThousandGenomes,SAS,PJL
HG03625,Female,ThousandGenomes,SAS,PJL
HG03626,Female,ThousandGenomes,SAS,PJL
HG03629,Male,ThousandGenomes,SAS,PJL
HG03631,Female,ThousandGenomes,SAS,PJL
HG03633,Male,ThousandGenomes,SAS,PJL
HG03634,Female,ThousandGenomes,SAS,PJL
HG03635,Female,ThousandGenomes,SAS,PJL
HG03636,Male,ThousandGenomes,SAS,PJL
HG03639,Male,ThousandGenomes,SAS,PJL
HG03640,Female,ThousandGenomes,SAS,PJL
HG03641,Male,ThousandGenomes,SAS,PJL
HG03642,Female,ThousandGenomes,SAS,STU
HG03643,Female,ThousandGenomes,SAS,STU
HG03644,Male,ThousandGenomes,SAS,STU
HG03645,Female,ThousandGenomes,SAS,STU
HG03646,Male,ThousandGenomes,SAS,STU
HG03649,Male,ThousandGenomes,SAS,PJL
HG03650,Female,ThousandGenomes,SAS,PJL
HG03651,Male,ThousandGenomes,SAS,PJL
HG03652,Male,ThousandGenomes,SAS,PJL
HG03653,Female,ThousandGenomes,SAS,PJL
HG03654,Male,ThousandGenomes,SAS,PJL
HG03660,Male,ThousandGenomes,SAS,PJL
HG03663,Male,ThousandGenomes,SAS,PJL
HG03667,Male,ThousandGenomes,SAS,PJL
HG03668,Female,ThousandGenomes,SAS,PJL
HG03669,Female,ThousandGenomes,SAS,PJL
HG03672,Male,ThousandGenomes,SAS,STU
HG03673,Female,ThousandGenomes,SAS,STU
HG03679,Male,ThousandGenomes,SAS,STU
HG03680,Male,ThousandGenomes,SAS,STU
HG03681,Male,ThousandGenomes,SAS,STU
HG03682,Male,ThousandGenomes,SAS,STU
HG03683,Female,ThousandGenomes,SAS,STU
HG03684,Female,ThousandGenomes,SAS,STU
HG03685,Male,ThousandGenomes,SAS,STU
HG03686,Male,ThousandGenomes,SAS,STU
HG03687,Male,ThousandGenomes,SAS,STU
HG03688,Male,ThousandGenomes,SAS,STU
HG03689,Female,ThousandGenomes,SAS,STU
HG03690,Female,ThousandGenomes,SAS,STU
HG03691,Male,ThousandGenomes,SAS,STU
HG03692,Female,ThousandGenomes,SAS,STU
HG03693,Male,ThousandGenomes,SAS,STU
HG03694,Male,ThousandGenomes,SAS,STU
HG03695,Male,ThousandGenomes,SAS,STU
HG03696,Male,ThousandGenomes,SAS,STU
HG03697,Male,ThousandGenomes,SAS,STU
HG03698,Female,ThousandGenomes,SAS,STU
HG03699,Male,ThousandGenomes,SAS,PJL
HG03700,Female,ThousandGenomes,SAS,PJL
HG03701,Male,ThousandGenomes,SAS,PJL
HG03702,Male,ThousandGenomes,SAS,PJL
HG03703,Female,ThousandGenomes,SAS,PJL
HG03704,Female,ThousandGenomes,SAS,PJL
HG03705,Male,ThousandGenomes,SAS,PJL
HG03706,Female,ThousandGenomes,SAS,PJL
HG03707,Male,ThousandGenomes,SAS,PJL
HG03708,Male,ThousandGenomes,SAS,PJL
HG03709,Female,ThousandGenomes,SAS,PJL
HG03710,Male,ThousandGenomes,SAS,PJL
HG03711,Male,ThousandGenomes,SAS,STU
HG03713,Male,ThousandGenomes,SAS,ITU
HG03714,Female,ThousandGenomes,SAS,ITU
HG03716,Male,ThousandGenomes,SAS,ITU
HG03717,Female,ThousandGenomes,SAS,ITU
HG03718,Male,ThousandGenomes,SAS,ITU
HG03719,Female,ThousandGenomes,SAS,ITU
HG03720,Male,ThousandGenomes,SAS,ITU
HG03721,Female,ThousandGenomes,SAS,ITU
HG03722,Female,ThousandGenomes,SAS,ITU
HG03725,Male,ThousandGenomes,SAS,ITU
HG03727,Male,ThousandGenomes,SAS,ITU
HG03729,Male,ThousandGenomes,SAS,ITU
HG03730,Female,ThousandGenomes,SAS,ITU
HG03731,Female,ThousandGenomes,SAS,ITU
HG03732,Male,ThousandGenomes,SAS,ITU
HG03733,Female,ThousandGenomes,SAS,STU
HG03736,Female,ThousandGenomes,SAS,STU
HG03738,Male,ThousandGenomes,SAS,STU
HG03740,Male,ThousandGenomes,SAS,STU
HG03741,Female,ThousandGenomes,SAS,STU
HG03742,Male,ThousandGenomes,SAS,ITU
HG03743,Male,ThousandGenomes,SAS,STU
HG03744,Male,ThousandGenomes,SAS,STU
HG03745,Male,ThousandGenomes,SAS,STU
HG03746,Male,ThousandGenomes,SAS,STU
HG03750,Male,ThousandGenomes,SAS,STU
HG03752,Female,ThousandGenomes,SAS,STU
HG03753,Male,ThousandGenomes,SAS,STU
HG03754,Female,ThousandGenomes,SAS,STU
HG03755,Male,ThousandGenomes,SAS,STU
HG03756,Female,ThousandGenomes,SAS,STU
HG03757,Female,ThousandGenomes,SAS,STU
HG03760,Female,ThousandGenomes,SAS,STU
HG03761,Male,ThousandGenomes,SAS,PJL
HG03762,Female,ThousandGenomes,SAS,PJL
HG03763,Male,ThousandGenomes,SAS,PJL
HG03765,Female,ThousandGenomes,SAS,PJL
HG03767,Male,ThousandGenomes,SAS,PJL
HG03770,Female,ThousandGenomes,SAS,ITU
HG03771,Male,ThousandGenomes,SAS,ITU
HG03772,Female,ThousandGenomes,SAS,ITU
HG03773,Male,ThousandGenomes,SAS,ITU
HG03774,Female,ThousandGenomes,SAS,ITU
HG03775,Male,ThousandGenomes,SAS,ITU
HG03777,Male,ThousandGenomes,SAS,ITU
HG03778,Male,ThousandGenomes,SAS,ITU
HG03779,Male,ThousandGenomes,SAS,ITU
HG03780,Female,ThousandGenomes,SAS,ITU
HG03781,Female,ThousandGenomes,SAS,ITU
HG03782,Female,ThousandGenomes,SAS,ITU
HG03784,Female,ThousandGenomes,SAS,ITU
HG03785,Male,ThousandGenomes,SAS,ITU
HG03786,Male,ThousandGenomes,SAS,ITU
HG03787,Female,ThousandGenomes,SAS,ITU
HG03788,Male,ThousandGenomes,SAS,ITU
HG03789,Female,ThousandGenomes,SAS,ITU
HG03790,Male,ThousandGenomes,SAS,ITU
HG03792,Male,ThousandGenomes,SAS,ITU
HG03793,Female,ThousandGenomes,SAS,BEB
HG03794,Male,ThousandGenomes,SAS,BEB
HG03795,Male,ThousandGenomes,SAS,BEB
HG03796,Female,ThousandGenomes,SAS,BEB
HG03797,Male,ThousandGenomes,SAS,BEB
HG03798,Male,ThousandGenomes,SAS,BEB
HG03799,Female,ThousandGenomes,SAS,BEB
HG03800,Male,ThousandGenomes,SAS,BEB
HG03801,Female,ThousandGenomes,SAS,BEB
HG03802,Female,ThousandGenomes,SAS,BEB
HG03803,Male,ThousandGenomes,SAS,BEB
HG03804,Female,ThousandGenomes,SAS,BEB
HG03805,Female,ThousandGenomes,SAS,BEB
HG03806,Male,ThousandGenomes,SAS,BEB
HG03807,Female,ThousandGenomes,SAS,BEB
HG03808,Female,ThousandGenomes,SAS,BEB
HG03809,Male,ThousandGenomes,SAS,BEB
HG03812,Male,ThousandGenomes,SAS,BEB
HG03814,Female,ThousandGenomes,SAS,BEB
HG03815,Male,ThousandGenomes,SAS,BEB
HG03816,Female,ThousandGenomes,SAS,BEB
HG03817,Female,ThousandGenomes,SAS,BEB
HG03821,Male,ThousandGenomes,SAS,BEB
HG03823,Female,ThousandGenomes,SAS,BEB
HG03824,Male,ThousandGenomes,SAS,BEB
HG03825,Female,ThousandGenomes,SAS,BEB
HG03826,Female,ThousandGenomes,SAS,BEB
HG03829,Female,ThousandGenomes,SAS,BEB
HG03830,Male,ThousandGenomes,SAS,BEB
HG03831,Female,ThousandGenomes,SAS,BEB
HG03832,Female,ThousandGenomes,SAS,BEB
HG03833,Male,ThousandGenomes,SAS,BEB
HG03834,Female,ThousandGenomes,SAS,BEB
HG03836,Female,ThousandGenomes,SAS,STU
HG03837,Male,ThousandGenomes,SAS,STU
HG03838,Female,ThousandGenomes,SAS,STU
HG03844,Male,ThousandGenomes,SAS,STU
HG03846,Male,ThousandGenomes,SAS,STU
HG03848,Male,ThousandGenomes,SAS,STU
HG03849,Female,ThousandGenomes,SAS,STU
HG03850,Male,ThousandGenomes,SAS,STU
HG03851,Male,ThousandGenomes,SAS,STU
HG03854,Male,ThousandGenomes,SAS,STU
HG03856,Male,ThousandGenomes,SAS,STU
HG03857,Female,ThousandGenomes,SAS,STU
HG03858,Female,ThousandGenomes,SAS,STU
HG03861,Female,ThousandGenomes,SAS,ITU
HG03862,Female,ThousandGenomes,SAS,ITU
HG03863,Female,ThousandGenomes,SAS,ITU
HG03864,Male,ThousandGenomes,SAS,ITU
HG03866,Male,ThousandGenomes,SAS,ITU
HG03867,Male,ThousandGenomes,SAS,ITU
HG03868,Female,ThousandGenomes,SAS,ITU
HG03869,Male,ThousandGenomes,SAS,ITU
HG03870,Male,ThousandGenomes,SAS,ITU
HG03871,Male,ThousandGenomes,SAS,ITU
HG03872,Male,ThousandGenomes,SAS,ITU
HG03873,Female,ThousandGenomes,SAS,ITU
HG03874,Female,ThousandGenomes,SAS,ITU
HG03875,Male,ThousandGenomes,SAS,ITU
HG03882,Female,ThousandGenomes,SAS,ITU
HG03884,Female,ThousandGenomes,SAS,STU
HG03885,Male,ThousandGenomes,SAS,STU
HG03886,Female,ThousandGenomes,SAS,STU
HG03887,Male,ThousandGenomes,SAS,STU
HG03888,Female,ThousandGenomes,SAS,STU
