sample_name,sex,dataset,super-population,sub-population
HG03914,Male,ThousandGenomes,SAS,BEB
HG03915,Female,ThousandGenomes,SAS,BEB
HG03916,Female,ThousandGenomes,SAS,BEB
HG03917,Male,ThousandGenomes,SAS,BEB
HG03919,Female,ThousandGenomes,SAS,BEB
HG03920,Male,ThousandGenomes,SAS,BEB
HG03922,Female,ThousandGenomes,SAS,BEB
HG03925,Female,ThousandGenomes,SAS,BEB
HG03926,Male,ThousandGenomes,SAS,BEB
HG03927,Female,ThousandGenomes,SAS,BEB
HG03928,Female,ThousandGenomes,SAS,BEB
HG03929,Male,ThousandGenomes,SAS,BEB
HG03930,Female,ThousandGenomes,SAS,BEB
HG03931,Female,ThousandGenomes,SAS,BEB
HG03934,Female,ThousandGenomes,SAS,BEB
HG03937,Female,ThousandGenomes,SAS,BEB
HG03940,Female,ThousandGenomes,SAS,BEB
HG03941,Male,ThousandGenomes,SAS,BEB
HG03942,Male,ThousandGenomes,SAS,BEB
HG03943,Male,ThousandGenomes,SAS,STU
HG03944,Female,ThousandGenomes,SAS,STU
HG03945,Female,ThousandGenomes,SAS,STU
HG03947,Female,ThousandGenomes,SAS,STU
HG03949,Female,ThousandGenomes,SAS,STU
HG03950,Male,ThousandGenomes,SAS,STU
HG03951,Female,ThousandGenomes,SAS,STU
HG03953,Male,ThousandGenomes,SAS,STU
HG03955,Female,ThousandGenomes,SAS,STU
HG03960,Male,ThousandGenomes,SAS,ITU
HG03963,Male,ThousandGenomes,SAS,ITU
HG03965,Male,ThousandGenomes,SAS,ITU
HG03967,Male,ThousandGenomes,SAS,ITU
HG03968,Female,ThousandGenomes,SAS,ITU
HG03969,Male,ThousandGenomes,SAS,ITU
HG03971,Male,ThousandGenomes,SAS,ITU
HG03973,Female,ThousandGenomes,SAS,ITU
HG03974,Male,ThousandGenomes,SAS,ITU
HG03976,Male,ThousandGenomes,SAS,ITU
HG03977,Female,ThousandGenomes,SAS,ITU
HG03978,Male,ThousandGenomes,SAS,ITU
HG03985,Male,ThousandGenomes,SAS,STU
HG03986,Female,ThousandGenomes,SAS,STU
HG03989,Female,ThousandGenomes,SAS,STU
HG03990,Male,ThousandGenomes,SAS,STU
HG03991,Male,ThousandGenomes,SAS,STU
HG03992,Male,ThousandGenomes,SAS,STU
HG03995,Female,ThousandGenomes,SAS,STU
HG03998,Male,ThousandGenomes,SAS,STU
HG03999,Male,ThousandGenomes,SAS,STU
HG04001,Female,ThousandGenomes,SAS,ITU
HG04002,Male,ThousandGenomes,SAS,ITU
HG04003,Male,ThousandGenomes,SAS,STU
HG04006,Male,ThousandGenomes,SAS,STU
HG04014,Female,ThousandGenomes,SAS,ITU
HG04015,Male,ThousandGenomes,SAS,ITU
HG04017,Male,ThousandGenomes,SAS,ITU
HG04018,Female,ThousandGenomes,SAS,ITU
HG04019,Male,ThousandGenomes,SAS,ITU
HG04020,Male,ThousandGenomes,SAS,ITU
HG04022,Male,ThousandGenomes,SAS,ITU
HG04023,Male,ThousandGenomes,SAS,ITU
HG04025,Female,ThousandGenomes,SAS,ITU
HG04026,Female,ThousandGenomes,SAS,ITU
HG04029,Female,ThousandGenomes,SAS,STU
HG04033,Male,ThousandGenomes,SAS,STU
HG04035,Female,ThousandGenomes,SAS,STU
HG04036,Female,ThousandGenomes,SAS,STU
HG04038,Female,ThousandGenomes,SAS,STU
HG04039,Male,ThousandGenomes,SAS,STU
HG04042,Female,ThousandGenomes,SAS,STU
HG04047,Female,ThousandGenomes,SAS,STU
HG04054,Female,ThousandGenomes,SAS,ITU
HG04056,Male,ThousandGenomes,SAS,ITU
HG04059,Female,ThousandGenomes,SAS,ITU
HG04060,Male,ThousandGenomes,SAS,ITU
HG04061,Male,ThousandGenomes,SAS,ITU
HG04062,Female,ThousandGenomes,SAS,ITU
HG04063,Female,ThousandGenomes,SAS,ITU
HG04070,Female,ThousandGenomes,SAS,ITU
HG04075,Female,ThousandGenomes,SAS,STU
HG04076,Female,ThousandGenomes,SAS,ITU
HG04080,Male,ThousandGenomes,SAS,ITU
HG04090,Female,ThousandGenomes,SAS,ITU
HG04093,Male,ThousandGenomes,SAS,ITU
HG04094,Male,ThousandGenomes,SAS,ITU
HG04096,Male,ThousandGenomes,SAS,ITU
HG04098,Male,ThousandGenomes,SAS,ITU
HG04099,Female,ThousandGenomes,SAS,STU
HG04100,Male,ThousandGenomes,SAS,STU
HG04106,Female,ThousandGenomes,SAS,STU
HG04107,Male,ThousandGenomes,SAS,STU
HG04115,Male,ThousandGenomes,SAS,STU
HG04118,Female,ThousandGenomes,SAS,ITU
HG04122,Male,ThousandGenomes,SAS,STU
HG04127,Male,ThousandGenomes,SAS,STU
HG04131,Male,ThousandGenomes,SAS,BEB
HG04132,Female,ThousandGenomes,SAS,BEB
HG04133,Female,ThousandGenomes,SAS,BEB
HG04134,Male,ThousandGenomes,SAS,BEB
HG04135,Female,ThousandGenomes,SAS,BEB
HG04136,Female,ThousandGenomes,SAS,BEB
HG04140,Male,ThousandGenomes,SAS,BEB
HG04141,Female,ThousandGenomes,SAS,BEB
HG04142,Female,ThousandGenomes,SAS,BEB
HG04144,Female,ThousandGenomes,SAS,BEB
HG04146,Male,ThousandGenomes,SAS,BEB
HG04147,Female,ThousandGenomes,SAS,BEB
HG04148,Female,ThousandGenomes,SAS,BEB
HG04149,Male,ThousandGenomes,SAS,BEB
HG04150,Female,ThousandGenomes,SAS,BEB
HG04151,Female,ThousandGenomes,SAS,BEB
HG04152,Male,ThousandGenomes,SAS,BEB
HG04153,Female,ThousandGenomes,SAS,BEB
HG04155,Male,ThousandGenomes,SAS,BEB
HG04156,Female,ThousandGenomes,SAS,BEB
HG04157,Male,ThousandGenomes,SAS,BEB
HG04158,Male,ThousandGenomes,SAS,BEB
HG04159,Female,ThousandGenomes,SAS,BEB
HG04160,Male,ThousandGenomes,SAS,BEB
HG04161,Male,ThousandGenomes,SAS,BEB
HG04162,Female,ThousandGenomes,SAS,BEB
HG04164,Male,ThousandGenomes,SAS,BEB
HG04171,Female,ThousandGenomes,SAS,BEB
HG04173,Male,ThousandGenomes,SAS,BEB
HG04174,Female,ThousandGenomes,SAS,BEB
HG04175,Female,ThousandGenomes,SAS,BEB
HG04176,Male,ThousandGenomes,SAS,BEB
HG04177,Female,ThousandGenomes,SAS,BEB
HG04180,Female,ThousandGenomes,SAS,BEB
HG04182,Male,ThousandGenomes,SAS,BEB
HG04183,Female,ThousandGenomes,SAS,BEB
HG04184,Female,ThousandGenomes,SAS,BEB
HG04185,Male,ThousandGenomes,SAS,BEB
HG04186,Female,ThousandGenomes,SAS,BEB
HG04187,Male,ThousandGenomes,SAS,BEB
HG04188,Male,ThousandGenomes,SAS,BEB
HG04189,Female,ThousandGenomes,SAS,BEB
HG04191,Male,ThousandGenomes,SAS,BEB
HG04192,Female,ThousandGenomes,SAS,BEB
HG04193,Male,ThousandGenomes,SAS,BEB
HG04194,Male,ThousandGenomes,SAS,BEB
HG04195,Female,ThousandGenomes,SAS,BEB
HG04198,Male,ThousandGenomes,SAS,ITU
HG04199,Male,ThousandGenomes,SAS,STU
HG04200,Female,ThousandGenomes,SAS,ITU
HG04202,Unknown,ThousandGenomes,SAS,ITU
HG04204,Male,ThousandGenomes,SAS,STU
HG04206,Male,ThousandGenomes,SAS,ITU
HG04209,Female,ThousandGenomes,SAS,ITU
HG04210,Male,ThousandGenomes,SAS,STU
HG04211,Male,ThousandGenomes,SAS,ITU
HG04212,Female,ThousandGenomes,SAS,ITU
HG04214,Female,ThousandGenomes,SAS,ITU
HG04215,Male,ThousandGenomes,SAS,STU
HG04216,Female,ThousandGenomes,SAS,ITU
HG04217,Female,ThousandGenomes,SAS,ITU
HG04219,Male,ThousandGenomes,SAS,ITU
HG04222,Male,ThousandGenomes,SAS,ITU
HG04225,Male,ThousandGenomes,SAS,ITU
HG04227,Female,ThousandGenomes,SAS,STU
HG04228,Male,ThousandGenomes,SAS,STU
HG04229,Male,ThousandGenomes,SAS,STU
HG04235,Male,ThousandGenomes,SAS,ITU
HG04238,Male,ThousandGenomes,SAS,ITU
HG04239,Male,ThousandGenomes,SAS,ITU
HGDP00001,Male,HGDP,CSA,Brahui
HGDP00003,Male,HGDP,CSA,Brahui
HGDP00005,Male,HGDP,CSA,Brahui
HGDP00007,Male,HGDP,CSA,Brahui
HGDP00009,Male,HGDP,CSA,Brahui
HGDP00011,Male,HGDP,CSA,Brahui
HGDP00013,Male,HGDP,CSA,Brahui
HGDP00015,Male,HGDP,CSA,Brahui
HGDP00017,Male,HGDP,CSA,Brahui
HGDP00021,Male,HGDP,CSA,Brahui
HGDP00023,Male,HGDP,CSA,Brahui
HGDP00025,Male,HGDP,CSA,Brahui
HGDP00029,Male,HGDP,CSA,Brahui
HGDP00031,Male,HGDP,CSA,Brahui
HGDP00033,Male,HGDP,CSA,Brahui
HGDP00035,Male,HGDP,CSA,Brahui
HGDP00037,Male,HGDP,CSA,Brahui
HGDP00039,Male,HGDP,CSA,Brahui
HGDP00041,Male,HGDP,CSA,Brahui
HGDP00043,Male,HGDP,CSA,Brahui
HGDP00045,Male,HGDP,CSA,Brahui
HGDP00047,Male,HGDP,CSA,Brahui
HGDP00049,Male,HGDP,CSA,Brahui
HGDP00052,Male,HGDP,CSA,Balochi
HGDP00054,Male,HGDP,CSA,Balochi
HGDP00056,Male,HGDP,CSA,Balochi
HGDP00057,Male,HGDP,CSA,Balochi
HGDP00060,Male,HGDP,CSA,Balochi
HGDP00062,Male,HGDP,CSA,Balochi
HGDP00064,Male,HGDP,CSA,Balochi
HGDP00066,Male,HGDP,CSA,Balochi
HGDP00068,Male,HGDP,CSA,Balochi
HGDP00070,Male,HGDP,CSA,Balochi
HGDP00072,Male,HGDP,CSA,Balochi
HGDP00074,Male,HGDP,CSA,Balochi
HGDP00076,Male,HGDP,CSA,Balochi
HGDP00078,Male,HGDP,CSA,Balochi
HGDP00080,Male,HGDP,CSA,Balochi
HGDP00082,Male,HGDP,CSA,Balochi
HGDP00086,Male,HGDP,CSA,Balochi
HGDP00088,Male,HGDP,CSA,Balochi
HGDP00092,Male,HGDP,CSA,Balochi
HGDP00094,Male,HGDP,CSA,Balochi
HGDP00096,Male,HGDP,CSA,Balochi
HGDP00098,Male,HGDP,CSA,Balochi
HGDP00099,Male,HGDP,CSA,Hazara
HGDP00100,Male,HGDP,CSA,Hazara
HGDP00102,Male,HGDP,CSA,Hazara
HGDP00103,Male,HGDP,CSA,Hazara
HGDP00104,Male,HGDP,CSA,Hazara
HGDP00105,Male,HGDP,CSA,Hazara
HGDP00106,Male,HGDP,CSA,Hazara
HGDP00108,Male,HGDP,CSA,Hazara
HGDP00109,Male,HGDP,CSA,Hazara
HGDP00110,Male,HGDP,CSA,Hazara
HGDP00115,Male,HGDP,CSA,Hazara
HGDP00118,Male,HGDP,CSA,Hazara
HGDP00119,Male,HGDP,CSA,Hazara
HGDP00120,Male,HGDP,CSA,Hazara
HGDP00121,Male,HGDP,CSA,Hazara
HGDP00122,Male,HGDP,CSA,Hazara
HGDP00127,Male,HGDP,CSA,Hazara
HGDP00129,Male,HGDP,CSA,Hazara
HGDP00130,Male,HGDP,CSA,Makrani
HGDP00131,Male,HGDP,CSA,Makrani
HGDP00133,Male,HGDP,CSA,Makrani
HGDP00134,Male,HGDP,CSA,Makrani
HGDP00135,Male,HGDP,CSA,Makrani
HGDP00136,Male,HGDP,CSA,Makrani
HGDP00137,Male,HGDP,CSA,Makrani
HGDP00139,Male,HGDP,CSA,Makrani
HGDP00140,Male,HGDP,CSA,Makrani
HGDP00141,Male,HGDP,CSA,Makrani
HGDP00143,Male,HGDP,CSA,Makrani
HGDP00144,Male,HGDP,CSA,Makrani
HGDP00145,Male,HGDP,CSA,Makrani
HGDP00146,Male,HGDP,CSA,Makrani
HGDP00148,Male,HGDP,CSA,Makrani
HGDP00149,Male,HGDP,CSA,Makrani
HGDP00150,Male,HGDP,CSA,Makrani
HGDP00151,Female,HGDP,CSA,Makrani
HGDP00153,Female,HGDP,CSA,Makrani
HGDP00154,Female,HGDP,CSA,Makrani
HGDP00155,Female,HGDP,CSA,Makrani
HGDP00158,Male,HGDP,CSA,Makrani
HGDP00161,Male,HGDP,CSA,Makrani
HGDP00163,Male,HGDP,CSA,Sindhi
HGDP00165,Male,HGDP,CSA,Sindhi
HGDP00167,Male,HGDP,CSA,Sindhi
HGDP00169,Male,HGDP,CSA,Sindhi
HGDP00171,Male,HGDP,CSA,Sindhi
HGDP00173,Male,HGDP,CSA,Sindhi
HGDP00175,Male,HGDP,CSA,Sindhi
HGDP00177,Male,HGDP,CSA,Sindhi
HGDP00179,Male,HGDP,CSA,Sindhi
HGDP00181,Male,HGDP,CSA,Sindhi
HGDP00183,Male,HGDP,CSA,Sindhi
HGDP00185,Male,HGDP,CSA,Sindhi
HGDP00187,Male,HGDP,CSA,Sindhi
HGDP00189,Male,HGDP,CSA,Sindhi
HGDP00191,Male,HGDP,CSA,Sindhi
HGDP00192,Female,HGDP,CSA,Sindhi
HGDP00197,Male,HGDP,CSA,Sindhi
HGDP00199,Male,HGDP,CSA,Sindhi
HGDP00201,Male,HGDP,CSA,Sindhi
HGDP00205,Male,HGDP,CSA,Sindhi
HGDP00206,Female,HGDP,CSA,Sindhi
HGDP00210,Female,HGDP,CSA,Sindhi
HGDP00213,Male,HGDP,CSA,Pathan
HGDP00214,Male,HGDP,CSA,Pathan
HGDP00218,Male,HGDP,CSA,Pathan
HGDP00222,Male,HGDP,CSA,Pathan
HGDP00224,Male,HGDP,CSA,Pathan
HGDP00226,Male,HGDP,CSA,Pathan
HGDP00228,Male,HGDP,CSA,Pathan
HGDP00230,Male,HGDP,CSA,Pathan
HGDP00234,Male,HGDP,CSA,Pathan
HGDP00237,Female,HGDP,CSA,Pathan
HGDP00239,Female,HGDP,CSA,Pathan
HGDP00241,Male,HGDP,CSA,Pathan
HGDP00243,Male,HGDP,CSA,Pathan
HGDP00244,Female,HGDP,CSA,Pathan
HGDP00247,Female,HGDP,CSA,Pathan
HGDP00248,Male,HGDP,CSA,Pathan
HGDP00251,Male,HGDP,CSA,Pathan
HGDP00254,Male,HGDP,CSA,Pathan
HGDP00258,Male,HGDP,CSA,Pathan
HGDP00259,Male,HGDP,CSA,Pathan
HGDP00262,Male,HGDP,CSA,Pathan
HGDP00264,Male,HGDP,CSA,Pathan
HGDP00274,Female,HGDP,CSA,Kalash
HGDP00277,Male,HGDP,CSA,Kalash
HGDP00279,Male,HGDP,CSA,Kalash
HGDP00281,Male,HGDP,CSA,Kalash
HGDP00285,Male,HGDP,CSA,Kalash
HGDP00288,Male,HGDP,CSA,Kalash
HGDP00290,Male,HGDP,CSA,Kalash
HGDP00298,Female,HGDP,CSA,Kalash
HGDP00302,Male,HGDP,CSA,Kalash
HGDP00304,Female,HGDP,CSA,Kalash
HGDP00307,Male,HGDP,CSA,Kalash
HGDP00309,Male,HGDP,CSA,Kalash
HGDP00311,Male,HGDP,CSA,Kalash
HGDP00313,Male,HGDP,CSA,Kalash
HGDP00315,Male,HGDP,CSA,Kalash
HGDP00319,Male,HGDP,CSA,Kalash
HGDP00321,Male,HGDP,CSA,Kalash
HGDP00323,Female,HGDP,CSA,Kalash
HGDP00326,Male,HGDP,CSA,Kalash
HGDP00330,Male,HGDP,CSA,Kalash
HGDP00333,Male,HGDP,CSA,Kalash
HGDP00341,Male,HGDP,CSA,Burusho
HGDP00346,Male,HGDP,CSA,Burusho
HGDP00351,Male,HGDP,CSA,Burusho
HGDP00356,Female,HGDP,CSA,Burusho
HGDP00359,Male,HGDP,CSA,Burusho
HGDP00364,Male,HGDP,CSA,Burusho
HGDP00371,Female,HGDP,CSA,Burusho
HGDP00372,Male,HGDP,CSA,Burusho
HGDP00376,Male,HGDP,CSA,Burusho
HGDP00382,Male,HGDP,CSA,Burusho
HGDP00388,Male,HGDP,CSA,Burusho
HGDP00392,Male,HGDP,CSA,Burusho
HGDP00397,Male,HGDP,CSA,Burusho
HGDP00402,Male,HGDP,CSA,Burusho
HGDP00407,Male,HGDP,CSA,Burusho
HGDP00412,Male,HGDP,CSA,Burusho
HGDP00417,Male,HGDP,CSA,Burusho
HGDP00423,Male,HGDP,CSA,Burusho
HGDP00433,Male,HGDP,CSA,Burusho
HGDP00438,Male,HGDP,CSA,Burusho
HGDP00444,Female,HGDP,CSA,Burusho
HGDP00445,Male,HGDP,CSA,Burusho
HGDP00450,Male,HGDP,AFR,MbutiPygmy
HGDP00452,Male,HGDP,AFR,BiakaPygmy
HGDP00453,Male,HGDP,AFR,BiakaPygmy
HGDP00454,Male,HGDP,AFR,BiakaPygmy
HGDP00455,Male,HGDP,AFR,BiakaPygmy
HGDP00458,Male,HGDP,AFR,BiakaPygmy
HGDP00459,Male,HGDP,AFR,BiakaPygmy
HGDP00460,Male,HGDP,AFR,BiakaPygmy
HGDP00462,Male,HGDP,AFR,MbutiPygmy
HGDP00463,Male,HGDP,AFR,MbutiPygmy
HGDP00464,Male,HGDP,AFR,BiakaPygmy
HGDP00465,Male,HGDP,AFR,BiakaPygmy
HGDP00466,Male,HGDP,AFR,BiakaPygmy
HGDP00467,Male,HGDP,AFR,MbutiPygmy
HGDP00468,Male,HGDP,AFR,MbutiPygmy
HGDP00469,Male,HGDP,AFR,BiakaPygmy
HGDP00470,Male,HGDP,AFR,BiakaPygmy
HGDP00471,Female,HGDP,AFR,MbutiPygmy
HGDP00472,Male,HGDP,AFR,BiakaPygmy
HGDP00473,Male,HGDP,AFR,BiakaPygmy
HGDP00475,Male,HGDP,AFR,BiakaPygmy
HGDP00478,Male,HGDP,AFR,MbutiPygmy
HGDP00479,Male,HGDP,AFR,BiakaPygmy
HGDP00490,Male,HGDP,OCE,Melanesian
HGDP00491,Male,HGDP,OCE,Melanesian
HGDP00511,Male,HGDP,EUR,French
HGDP00512,Male,HGDP,EUR,French
HGDP00513,Female,HGDP,EUR,French
HGDP00514,Female,HGDP,EUR,French
HGDP00515,Male,HGDP,EUR,French
HGDP00516,Female,HGDP,EUR,French
HGDP00517,Female,HGDP,EUR,French
HGDP00518,Male,HGDP,EUR,French
HGDP00519,Male,HGDP,EUR,French
HGDP00520,Female,HGDP,EUR,French
HGDP00522,Male,HGDP,EUR,French
HGDP00523,Female,HGDP,EUR,French
HGDP00524,Female,HGDP,EUR,French
HGDP00525,Male,HGDP,EUR,French
HGDP00527,Female,HGDP,EUR,French
HGDP00528,Male,HGDP,EUR,French
HGDP00529,Female,HGDP,EUR,French
HGDP00531,Female,HGDP,EUR,French
HGDP00534,Female,HGDP,EUR,French
HGDP00535,Female,HGDP,EUR,French
HGDP00536,Female,HGDP,EUR,French
HGDP00537,Female,HGDP,EUR,French
HGDP00538,Male,HGDP,EUR,French
HGDP00539,Female,HGDP,EUR,French
HGDP00540,Male,HGDP,OCE,Papuan
HGDP00541,Male,HGDP,OCE,Papuan
HGDP00542,Male,HGDP,OCE,Papuan
HGDP00543,Male,HGDP,OCE,Papuan
HGDP00544,Female,HGDP,OCE,Papuan
HGDP00545,Male,HGDP,OCE,Papuan
HGDP00546,Male,HGDP,OCE,Papuan
HGDP00547,Male,HGDP,OCE,Papuan
HGDP00549,Male,HGDP,OCE,Papuan
HGDP00550,Female,HGDP,OCE,Papuan
HGDP00551,Male,HGDP,OCE,Papuan
HGDP00553,Male,HGDP,OCE,Papuan
HGDP00555,Male,HGDP,OCE,Papuan
HGDP00556,Male,HGDP,OCE,Papuan
HGDP00557,Female,HGDP,UAE,Druze
HGDP00558,Female,HGDP,UAE,Druze
HGDP00559,Female,HGDP,UAE,Druze
HGDP00560,Female,HGDP,UAE,Druze
HGDP00561,Female,HGDP,UAE,Druze
HGDP00562,Male,HGDP,UAE,Druze
HGDP00563,Female,HGDP,UAE,Druze
HGDP00564,Female,HGDP,UAE,Druze
HGDP00565,Female,HGDP,UAE,Druze
HGDP00566,Female,HGDP,UAE,Druze
HGDP00567,Female,HGDP,UAE,Druze
HGDP00568,Female,HGDP,UAE,Druze
HGDP00571,Female,HGDP,UAE,Druze
HGDP00572,Female,HGDP,UAE,Druze
HGDP00573,Female,HGDP,UAE,Druze
HGDP00574,Female,HGDP,UAE,Druze
HGDP00575,Female,HGDP,UAE,Druze
HGDP00576,Male,HGDP,UAE,Druze
HGDP00577,Female,HGDP,UAE,Druze
HGDP00578,Female,HGDP,UAE,Druze
HGDP00579,Female,HGDP,UAE,Druze
HGDP00580,Male,HGDP,UAE,Druze
HGDP00581,Female,HGDP,UAE,Druze
HGDP00582,Female,HGDP,UAE,Druze
HGDP00583,Female,HGDP,UAE,Druze
HGDP00584,Female,HGDP,UAE,Druze
HGDP00586,Female,HGDP,UAE,Druze
HGDP00587,Female,HGDP,UAE,Druze
HGDP00588,Male,HGDP,UAE,Druze
HGDP00590,Female,HGDP,UAE,Druze
HGDP00591,Female,HGDP,UAE,Druze
HGDP00594,Male,HGDP,UAE,Druze
HGDP00595,Male,HGDP,UAE,Druze
HGDP00598,Male,HGDP,UAE,Druze
HGDP00599,Male,HGDP,UAE,Druze
HGDP00600,Male,HGDP,UAE,Druze
HGDP00601,Female,HGDP,UAE,Druze
HGDP00602,Male,HGDP,UAE,Druze
HGDP00604,Male,HGDP,UAE,Druze
HGDP00606,Female,HGDP,UAE,Druze
HGDP00607,Female,HGDP,UAE,Bedouin
HGDP00608,Male,HGDP,UAE,Bedouin
HGDP00609,Male,HGDP,UAE,Bedouin
HGDP00610,Male,HGDP,UAE,Bedouin
HGDP00611,Male,HGDP,UAE,Bedouin
HGDP00612,Female,HGDP,UAE,Bedouin
HGDP00613,Female,HGDP,UAE,Bedouin
HGDP00614,Female,HGDP,UAE,Bedouin
HGDP00615,Female,HGDP,UAE,Bedouin
HGDP00618,Male,HGDP,UAE,Bedouin
HGDP00619,Male,HGDP,UAE,Bedouin
HGDP00620,Male,HGDP,UAE,Bedouin
HGDP00621,Male,HGDP,UAE,Bedouin
HGDP00622,Male,HGDP,UAE,Bedouin
HGDP00623,Male,HGDP,UAE,Bedouin
HGDP00624,Male,HGDP,UAE,Bedouin
HGDP00625,Male,HGDP,UAE,Bedouin
HGDP00626,Male,HGDP,UAE,Bedouin
HGDP00627,Male,HGDP,UAE,Bedouin
HGDP00628,Male,HGDP,UAE,Bedouin
HGDP00629,Male,HGDP,UAE,Bedouin
HGDP00630,Male,HGDP,UAE,Bedouin
HGDP00631,Male,HGDP,UAE,Bedouin
HGDP00632,Female,HGDP,UAE,Bedouin
HGDP00634,Female,HGDP,UAE,Bedouin
HGDP00635,Female,HGDP,UAE,Bedouin
HGDP00636,Female,HGDP,UAE,Bedouin
HGDP00637,Female,HGDP,UAE,Bedouin
HGDP00638,Female,HGDP,UAE,Bedouin
HGDP00639,Male,HGDP,UAE,Bedouin
HGDP00640,Male,HGDP,UAE,Bedouin
HGDP00641,Male,HGDP,UAE,Bedouin
HGDP00642,Male,HGDP,UAE,Bedouin
HGDP00643,Female,HGDP,UAE,Bedouin
HGDP00644,Male,HGDP,UAE,Bedouin
HGDP00645,Male,HGDP,UAE,Bedouin
HGDP00646,Female,HGDP,UAE,Bedouin
HGDP00647,Female,HGDP,UAE,Bedouin
HGDP00648,Male,HGDP,UAE,Bedouin
HGDP00649,Female,HGDP,UAE,Bedouin
HGDP00651,Female,HGDP,UAE,Bedouin
HGDP00653,Female,HGDP,UAE,Bedouin
HGDP00654,Male,HGDP,UAE,Bedouin
HGDP00655,Male,HGDP,OCE,Melanesian
HGDP00661,Female,HGDP,OCE,Melanesian
HGDP00662,Male,HGDP,OCE,Melanesian
HGDP00663,Female,HGDP,OCE,Melanesian
HGDP00664,Female,HGDP,OCE,Melanesian
HGDP00666,Male,HGDP,EUR,Sardinian
HGDP00667,Female,HGDP,EUR,Sardinian
HGDP00668,Male,HGDP,EUR,Sardinian
HGDP00669,Female,HGDP,EUR,Sardinian
HGDP00670,Male,HGDP,EUR,Sardinian
HGDP00671,Male,HGDP,EUR,Sardinian
HGDP00672,Female,HGDP,EUR,Sardinian
HGDP00673,Female,HGDP,EUR,Sardinian
HGDP00674,Male,HGDP,EUR,Sardinian
HGDP00675,Male,HGDP,UAE,Palestinian
HGDP00676,Male,HGDP,UAE,Palestinian
HGDP00677,Male,HGDP,UAE,Palestinian
HGDP00678,Male,HGDP,UAE,Palestinian
HGDP00679,Female,HGDP,UAE,Palestinian
HGDP00680,Female,HGDP,UAE,Palestinian
HGDP00682,Female,HGDP,UAE,Palestinian
HGDP00683,Female,HGDP,UAE,Palestinian
HGDP00684,Female,HGDP,UAE,Palestinian
HGDP00685,Female,HGDP,UAE,Palestinian
HGDP00686,Female,HGDP,UAE,Palestinian
HGDP00687,Female,HGDP,UAE,Palestinian
HGDP00688,Female,HGDP,UAE,Palestinian
HGDP00689,Female,HGDP,UAE,Palestinian
HGDP00690,Female,HGDP,UAE,Palestinian
HGDP00691,Female,HGDP,UAE,Palestinian
HGDP00692,Female,HGDP,UAE,Palestinian
HGDP00693,Female,HGDP,UAE,Palestinian
HGDP00694,Female,HGDP,UAE,Palestinian
HGDP00696,Female,HGDP,UAE,Palestinian
HGDP00697,Female,HGDP,UAE,Palestinian
HGDP00698,Female,HGDP,UAE,Palestinian
HGDP00699,Female,HGDP,UAE,Palestinian
HGDP00700,Female,HGDP,UAE,Palestinian
HGDP00701,Female,HGDP,UAE,Bedouin
HGDP00703,Male,HGDP,AMR,Colombian
HGDP00704,Female,HGDP,AMR,Colombian
HGDP00708,Female,HGDP,AMR,Colombian
HGDP00710,Male,HGDP,AMR,Colombian
HGDP00711,Male,HGDP,EAS,Cambodian
HGDP00712,Female,HGDP,EAS,Cambodian
HGDP00714,Male,HGDP,EAS,Cambodian
HGDP00715,Male,HGDP,EAS,Cambodian
HGDP00716,Male,HGDP,EAS,Cambodian
HGDP00719,Female,HGDP,EAS,Cambodian
HGDP00720,Male,HGDP,EAS,Cambodian
HGDP00721,Female,HGDP,EAS,Cambodian
HGDP00723,Male,HGDP,UAE,Palestinian
HGDP00724,Male,HGDP,UAE,Palestinian
HGDP00726,Male,HGDP,UAE,Palestinian
HGDP00727,Male,HGDP,UAE,Palestinian
HGDP00729,Male,HGDP,UAE,Palestinian
HGDP00730,Male,HGDP,UAE,Palestinian
HGDP00731,Male,HGDP,UAE,Palestinian
HGDP00732,Male,HGDP,UAE,Palestinian
HGDP00733,Male,HGDP,UAE,Palestinian
HGDP00734,Male,HGDP,UAE,Palestinian
HGDP00735,Female,HGDP,UAE,Palestinian
HGDP00736,Female,HGDP,UAE,Palestinian
HGDP00738,Female,HGDP,UAE,Palestinian
HGDP00739,Female,HGDP,UAE,Palestinian
HGDP00740,Female,HGDP,UAE,Palestinian
HGDP00741,Female,HGDP,UAE,Palestinian
HGDP00744,Female,HGDP,UAE,Palestinian
HGDP00745,Female,HGDP,UAE,Palestinian
HGDP00746,Female,HGDP,UAE,Palestinian
HGDP00747,Male,HGDP,EAS,Japanese
HGDP00748,Male,HGDP,EAS,Japanese
HGDP00750,Male,HGDP,EAS,Japanese
HGDP00751,Male,HGDP,EAS,Japanese
HGDP00752,Male,HGDP,EAS,Japanese
HGDP00753,Male,HGDP,EAS,Japanese
HGDP00754,Female,HGDP,EAS,Japanese
HGDP00755,Male,HGDP,EAS,Japanese
HGDP00756,Female,HGDP,EAS,Japanese
HGDP00757,Male,HGDP,EAS,Japanese
HGDP00758,Male,HGDP,EAS,Japanese
HGDP00759,Male,HGDP,EAS,Japanese
HGDP00760,Female,HGDP,EAS,Japanese
HGDP00761,Female,HGDP,EAS,Japanese
HGDP00762,Male,HGDP,EAS,Japanese
HGDP00763,Male,HGDP,EAS,Japanese
HGDP00764,Male,HGDP,EAS,Japanese
HGDP00765,Female,HGDP,EAS,Japanese
